user_input,reference,extracted_response,RougeScore,BleuScore,ExactMatch
Give me the nutritional breakdown of swamp cabbage,"swamp cabbage contains: Calories: 20 kcal, Protein: 2.0g, Fat: 0.2g, Carbohydrates: 3.6g, Fiber: 1.9g, Vitamin C: 15.7mg","swamp cabba gramse contains: Calories: 20  calories, Protein: 2.0 grams, Fat: 0.2 grams, Carbohydrates: 3.6 grams, Fiber: 1.9 grams, Vitamin C: 15.7m grams",0.5013893179779632,0.5090941309287866,0.6193451954811927
What is the protein content of tomato vegetable juice?,"tomato vegetable juice contains: Calories: 53 kcal, Protein: 1.5g, Fat: 0.2g, Carbohydrates: 11.1g, Fiber: 1.9g, Vitamin C: 67.0mg","tomato vegetable juice contains: Calories: 53 kcal, Protein: 1.",0.7693999431106269,0.7177781356100084,0.7127734433987035
Can you analyze french dressing fat free nutritionally?,"french dressing fat free contains: Calories: 21 kcal, Protein: 0.01g, Fat: 0.024g, Carbohydrates: 5.1g, Fiber: 0.4g","french dressing fat free contains: Calories: 21 kcal, Protein: 0.01g, Fat: 0.024g, Carbohydrates: 5.1g, Fiber: 0.4g",0.8293441749503138,0.5990048154015102,0.6384638939950507
What is the protein content of baked potato with cheese sauce?,"baked potato with cheese sauce contains: Calories: 474 kcal, Protein: 14.6g, Fat: 28.7g, Carbohydrates: 46.5g, Vitamin C: 26.0mg, Calcium: 310.8mg","baked potato with cheese sauce has: Calories: 474 kcal, Protein: 14.6g, Fat: 28.7g, Carbohydrates: 46.5g, Vitamin C: 26.0mg, Calcium: 310.8mg",0.6102598911180509,0.8749641444540268,0.7900095783635674
Can you analyze croutons nutritionally?,"croutons contains: Calories: 33 kcal, Protein: 1.0g, Fat: 0.5g, Carbohydrates: 5.9g, Fiber: 0.4g","croutons contains: Calories: 33 kcal, Protein: 1.0g, Fat: 0.5g, Carbohydrates: 5.9g, Fiber: 0.4g This is a good source of nutrition.",0.5451378555065909,0.8237912734156778,0.6676962393967009
Tell me about the macros in gamay red wine,"gamay red wine contains: Calories: 115 kcal, Protein: 0.1g, Carbohydrates: 3.5g, Fiber: 14.4g"," gramsamay red wine contains: Calories: 115  calories, Protein: 0.1 grams, Carbohydrates: 3.5 grams, Fiber: 14.4 grams",0.8064213870055614,0.8535026487381498,0.5062583185454198
What's the carb content in apple strudel?,"apple strudel contains: Calories: 195 kcal, Protein: 2.3g, Fat: 8.0g, Carbohydrates: 29.2g, Fiber: 1.6g, Vitamin C: 1.2mg","apple strudel contains: Calories: 195 kcal, Protein: 2.",0.5824326487400857,0.5403586852370028,0.5134305103017123
Can you analyze barley cooked nutritionally?,"barley cooked contains: Calories: 193 kcal, Protein: 3.5g, Fat: 0.7g, Carbohydrates: 44.3g, Fiber: 6.0g, Calcium: 17.3mg","barley cooked contains: Calories: 193 kcal, Protein: 3.5g, Fat: 0.7g, Carbohydrates: 44.3g, Fiber: 6.0g, Calcium: 17.3mg",0.7391139586926211,0.7813145067459715,0.5194705284974996
What are the nutritional values for wolffish raw?,"wolffish raw contains: Calories: 294 kcal, Protein: 53.6g, Fat: 7.3g, Calcium: 18.4mg","wolffish raw has: Calories: 294 kcal, Protein: 53.6g, Fat: 7.3g, Calcium: 18.4mg",0.7962164313919446,0.6609061403243626,0.5937357113950247
What are the nutritional values for pork centre loin chops cooked?,"pork centre loin chops cooked contains: Calories: 328 kcal, Protein: 40.2g, Fat: 17.4g, Vitamin C: 1.1mg","pork centre loin chops cooked contains: Calories: 328 kcal, Protein: 40.2g, Fat: 17.4g, Vitamin C: 1.1mg This is a good source of nutrition.",0.5869076840710213,0.8454920970680226,0.5225776140097844
Give me the nutritional breakdown of tahini,"tahini contains: Calories: 86 kcal, Protein: 2.7g, Fat: 7.2g, Carbohydrates: 3.9g, Fiber: 1.4g, Calcium: 63.0mg","tahini contains: Calories: 86  calories, Protein: 2.7 grams, Fat: 7.2 grams, Carbohydrates: 3.9 grams, Fiber: 1.4 grams, Calcium: 63.0m grams",0.7015583395763738,0.6157053805415675,0.8263145027053267
Tell me about the macros in avocado,"avocado contains: Calories: 432 kcal, Protein: 5.4g, Fat: 39.6g, Carbohydrates: 23.0g, Fiber: 18.1g","avocado contains: Calories: 432 kcal, Protein: 5.",0.7926069932464073,0.6275614785476769,0.739167069710905
What are the nutritional values for catfish cooked?,"catfish cooked contains: Calories: 206 kcal, Protein: 26.4g, Fat: 10.3g","catfish cooked contains: Calories: 206 kcal, Protein: 26.4g, Fat: 10.3g",0.7690127605747654,0.6282660461571933,0.6207057740576813
How many calories are in zwieback?,"zwieback contains: Calories: 30 kcal, Protein: 0.7g, Fat: 0.7g, Carbohydrates: 5.2g, Fiber: 0.2g","zwieback has: Calories: 30 kcal, Protein: 0.7g, Fat: 0.7g, Carbohydrates: 5.2g, Fiber: 0.2g",0.5573041736653315,0.7640849695242973,0.588417096178413
Is water chestnut raw high in protein?,"water chestnut raw contains: Calories: 120 kcal, Protein: 1.7g, Fat: 0.1g, Carbohydrates: 29.7g, Fiber: 3.7g, Vitamin C: 5.0mg","water chestnut raw contains: Calories: 120 kcal, Protein: 1.7g, Fat: 0.1g, Carbohydrates: 29.7g, Fiber: 3.7g, Vitamin C: 5.0mg This is a good source of nutrition.",0.6202003815029679,0.5243830548427049,0.8794081020106885
What's the carb content in lard?,"lard contains: Calories: 115 kcal, Fat: 12.8g","lard contains: Calories: 115  calories, Fat: 12.8 grams",0.8518855563855532,0.8646310662482177,0.7503972550593321
How many calories are in pineapple topping?,"pineapple topping contains: Calories: 860 kcal, Protein: 0.3g, Fat: 0.3g, Carbohydrates: 225.8g, Fiber: 1.4g, Vitamin C: 10.5mg","pineapple topping contains: Calories: 860 kcal, Protein: 0.",0.6708802329178174,0.6982483149972084,0.8889160941374743
How many calories are in sugar apple?,"sugar apple contains: Calories: 72 kcal, Protein: 1.6g, Fat: 0.2g, Carbohydrates: 18.2g, Fiber: 3.4g","sugar apple contains: Calories: 72 kcal, Protein: 1.6g, Fat: 0.2g, Carbohydrates: 18.2g, Fiber: 3.4g",0.8766345639327647,0.7685370098982889,0.8143218383922073
Is mixed vegetables cooked high in protein?,"mixed vegetables cooked contains: Calories: 118 kcal, Protein: 5.2g, Fat: 0.3g, Carbohydrates: 23.8g, Fiber: 8.0g","mixed vegetables cooked has: Calories: 118 kcal, Protein: 5.2g, Fat: 0.3g, Carbohydrates: 23.8g, Fiber: 8.0g",0.6274937829265249,0.6665298533685778,0.5596870431300655
Is matzo crackers whole wheat high in protein?,"matzo crackers whole wheat contains: Calories: 98 kcal, Protein: 3.7g, Fat: 0.4g, Carbohydrates: 22.1g, Fiber: 3.3g, Iron: 1.3mg","matzo crackers whole wheat contains: Calories: 98 kcal, Protein: 3.7g, Fat: 0.4g, Carbohydrates: 22.1g, Fiber: 3.3g, Iron: 1.3mg This is a good source of nutrition.",0.6505840754028528,0.8017664388952501,0.6894075281648879
How many calories are in corn grits dry?,"corn grits dry contains: Calories: 36 kcal, Protein: 0.7g, Fat: 0.2g, Carbohydrates: 7.7g, Fiber: 0.4g","corn  gramsrits dry contains: Calories: 36  calories, Protein: 0.7 grams, Fat: 0.2 grams, Carbohydrates: 7.7 grams, Fiber: 0.4 grams",0.8397363729040161,0.6202945675180591,0.7830307189951888
What's the carb content in tuna salad?,"tuna salad contains: Calories: 383 kcal, Protein: 32.9g, Fat: 19.0g, Carbohydrates: 19.3g, Vitamin C: 4.5mg, Calcium: 34.9mg","tuna salad contains: Calories: 383 kcal, Protein: 32.",0.8223104639739548,0.8658964695263622,0.7249543798347636
